Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
202107;1989072;UNIDAD SOLUCIONES DE TI COMERCIALES;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA TECNOLOGÍA DE INFORMACIÓN
202107;1510235;GERENCIA PROYECTOS PLANTAS AGUAS;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS PLANTAS AGUAS
202107;1300222;DIRECCIÓN AMBIENTAL SOCIAL Y SOSTENIBILIDAD PROYECTO ITUANGO;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;VICEPRESIDENCIA PROYECTOS GENERACIÓN ENERGÍA
202107;1985026;DEPARTAMENTO DISEÑOS ARQUITECTÓNICOS;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA CENTROS DE EXCELENCIA TÉCNICA
202107;1312060;DIRECCIÓN PEQUEÑAS CENTRALES GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1411032;UNIDAD OPERACIÓN INTEGRADA AGUA Y SANEAMIENTO;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
202107;1727197;UNIDAD OPERACIÓN Y MANTENIMIENTO GAS REGIÓN ANTIOQUIA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
202107;1980635;DIRECCIÓN PLANEACIÓN Y ANÁLISIS FINANCIERO;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;GERENCIA PLANEACIÓN FINANCIERA
202107;1337384;UNIDAD GESTIÓN DE LA INFORMACIÓN T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1310227;DIRECCIÓN PROYECTOS SOSTENIMIENTO GENERACIÓN;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;VICEPRESIDENCIA PROYECTOS GENERACIÓN ENERGÍA
202107;1312020;UNIDAD GESTIÓN DEL RENDIMIENTO GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1727147;GERENCIA SOLUCIONES GAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
202107;1510230;DIRECCIÓN PROYECTO PTAR BELLO;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS PLANTAS AGUAS
202107;1985060;UNIDAD COMPRAS OPERATIVAS;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
202107;1312032;UNIDAD OPERACIONES ZONA ORIENTE;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1980705;GERENCIA CADENA DE SUMINISTRO;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
202107;1320244;DIRECCIÓN PROYECTOS SUBESTACIONES Y LÍNEAS 2;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS SUBESTACIONES Y LÍNEAS
202107;1980630;DIRECCIÓN PRESUPUESTO;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;GERENCIA PLANEACIÓN FINANCIERA
202107;1980506;DIRECCIÓN DISEÑO ORGANIZACIONAL;VICEPRESIDENCIA TALENTO HUMANO Y DESARROLLO ORGANIZACIONAL;GERENCIA DESARROLLO CORPORATIVO
202107;1312012;UNIDAD PLANEACIÓN PRODUCCIÓN GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1337004;UNIDAD PLANEACIÓN DE INFRAESTRUCTURA T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1337500;GERENCIA COMERCIAL T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1980282;DIRECCIÓN MONTAJES;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;DIRECCIÓN MONTAJES
202107;1989015;DIRECCIÓN ESTRATEGIA Y ARQUITECTURA DE TI;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA TECNOLOGÍA DE INFORMACIÓN
202107;1727550;GERENCIA COMERCIAL GAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
202107;1989080;DIRECCIÓN SERVICIOS DE INFRAESTRUCTURA DE TI;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA TECNOLOGÍA DE INFORMACIÓN
202107;1980805;GERENCIA DESARROLLO E INNOVACIÓN;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA DESARROLLO E INNOVACIÓN
202107;1980562;UNIDAD GESTIÓN RIESGOS LABORALES;VICEPRESIDENCIA TALENTO HUMANO Y DESARROLLO ORGANIZACIONAL;GERENCIA DESARROLLO HUMANO Y CULTURA ORGANIZACIONAL
202107;1980113;UNIDAD ESTRATEGIA E INTELIGENCIA COMERCIAL;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980459;DIRECCIÓN SOPORTE LEGAL CONTRATACIÓN;VICEPRESIDENCIA ASUNTOS LEGALES;GERENCIA JURÍDICA GRUPO EMPRESARIAL
202107;1312002;UNIDAD ESTRATEGIA Y PLANEACIÓN GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
